"Employment status, sex, and age",People with a disability,People with a disability,People with no disability,People with no disability
,Aug. 2024,Aug. 2025,Aug. 2024,Aug. 2025
,,,,
Civilian noninstitutional population,"33,649","35,129","235,207","238,872"
Civilian labor force,"8,030","8,809","160,733","162,226"
Participation rate,23.9,25.1,68.3,67.9
Employed,"7,362","8,052","153,987","155,236"
Employment-population ratio,21.9,22.9,65.5,65
Unemployed,669,757,"6,746","6,990"
Unemployment rate,8.3,8.6,4.2,4.3
Not in labor force,"25,619","26,321","74,474","76,646"
"Men, 16 to 64 years",,,,
Civilian labor force,"3,377","3,837","79,333","80,506"
Participation rate,41.4,44.3,83,83.2
Employed,"3,065","3,496","76,097","77,204"
Employment-population ratio,37.6,40.4,79.6,79.8
Unemployed,311,341,"3,237","3,302"
Unemployment rate,9.2,8.9,4.1,4.1
Not in labor force,"4,780","4,816","16,228","16,206"
"Women, 16 to 64 years",,,,
Civilian labor force,"3,310","3,461","70,878","71,224"
Participation rate,38.7,40.1,73.3,72.6
Employed,"3,012","3,157","67,698","67,922"
Employment-population ratio,35.3,36.6,70,69.3
Unemployed,297,303,"3,179","3,303"
Unemployment rate,9,8.8,4.5,4.6
Not in labor force,"5,232","5,162","25,766","26,817"
"Both sexes, 65 years and over",,,,
Civilian labor force,"1,344","1,511","10,522","10,496"
Participation rate,7.9,8.5,24.5,23.8
Employed,"1,284","1,398","10,192","10,111"
Employment-population ratio,7.6,7.8,23.7,22.9
Unemployed,60,113,330,386
Unemployment rate,4.5,7.4,3.1,3.7
Not in labor force,"15,607","16,343","32,479","33,622"
"NOTE: A person with a disability has at least one of the following conditions: is deaf or has serious difficulty hearing; is blind or has serious difficulty seeing even when wearing glasses; has serious difficulty concentrating, remembering, or making decisions because of a physical, mental, or emotional condition; has serious difficulty walking or climbing stairs; has difficulty dressing or bathing; or has difficulty doing errands alone such as visiting a doctor's office or shopping because of a physical, mental, or emotional condition. Updated population controls are introduced annually with the release of January data.",,,,